Review,Rating,Length
nice hotel expensive park get good deal stay hotel anniversary arrive late even take advice previous review valet park check quick easy little disappoint nonexistent view room room clean nice size bed comfortable wake stiff neck high pillow soundproof like hear music room night morning loud bang doors open close hear people talk hallway maybe noisy neighbor aveda bath products nice goldfish stay nice touch take advantage stay longer location great walk distance shop overall nice experience pay 40 park night,Good,512
ok nothing special charge diamond member hilton decide chain shoot 20th anniversary seattle start book suite pay extra website description suite bedroom bathroom standard hotel room take print reservation desk show say things like tv couch ect desk clerk tell oh mix suit description kimpton website sorry free breakfast get kid embassy suit sit room bathroom bedroom unlike kimpton call suite 5 day stay offer correct false advertise send kimpton prefer guest website email ask failure provide suite advertise website reservation description furnish hard copy reservation printout website desk manager duty reply solution send email trip guest survey follow email mail guess tell concern guestthe staff range indifferent helpful ask desk good breakfast spot neighborhood hood tell hotels gee best breakfast spot seattle 12 block away convenient hotel know exist arrive late night 11 pm inside run bellman busy chat cell phone help bagsprior arrival email hotel inform 20th anniversary half really picky want make sure good get nice email say like deliver bottle champagne chocolate cover strawberries room arrival celebrate tell need foam pillow arrival champagne strawberries foam pillow great room view alley high rise build good better housekeep staff cleaner room property impress leave morning shop room get short trip 2 hours bed comfortablenot good acheat control 4 x 4 inch screen bring green shine directly eye night light sensitive tape controlsthis 4 start hotel clean business hotel super high rat better chain hotels seattle,Bad,1538
nice room 4 experience hotel monaco seattle good hotel nt 4 levelpositives large bathroom mediterranean suite comfortable bed pillowsattentive housekeep staffnegatives ac unit malfunction stay desk disorganize miss 3 separate wakeup call concierge busy hard touch nt provide guidance special requeststv hard use ipod sound dock suite non function decide book mediterranean suite 3 night weekend stay 1st choice rest party fill comparison w spend 45 night larger square footage room great soak tub whirlpool jet nice showerbefore stay hotel arrange car service price 53 tip reasonable driver wait arrivalcheckin easy downside room pick 2 person jacuzi tub bath accessories salt bubble bath nt stay night get 121a check voucher bottle champagne nice gesture fish wait room impression room huge open space felt room big tv far away bed chore change channel ipod dock break disappointingin morning way ask desk check thermostat say 65f 74 2 degrees warm try cover face night bright blue light keep get room night 1st drop desk call maintainence come look thermostat tell play settings happy digital box wo nt work ask wakeup 10am morning nt happen call later 6pm nap wakeup forget 10am wakeup morning yep forgottenthe bathroom facilities great room surprise room sell whirlpool bath tub nt bath amenities great relax water jet go,Netral,1325
unique great stay wonderful time hotel monaco location excellent short stroll main downtown shop area pet friendly room show sign animal hair smell monaco suite sleep area big strip curtain pull close nice touch felt cosy goldfish name brandi enjoy nt partake free wine coffeetea service lobby think great feature great staff friendly free wireless internet hotel work suite 2 laptops decor lovely eclectic mix pattens color palatte animal print bathrobes feel like rock star nice nt look like sterile chain hotel hotel personality excellent stay,Good,546
great stay great stay go seahawk game awesome downfall view build nt complain room huge staff helpful book hotels website seahawk package charge park get voucher taxi problem taxi driver nt want accept voucher barely speak english funny thing speak arabic call start make comment girlfriend cell phone buddy take second realize say fact speak language face priceless ass tell say large city tell head doorman issue call cab company promply answer nt apologize offer pay taxi buck 2 miles stadium game plan taxi return go humpin great walk nt mind right christmas wonderful light homeless stow away build entrance leave police presence greatest area stadium activities 7 block pike street waterfront great coffee shop way hotel mantained foyer awesome wine taste available even best dog take st bernard time family safes hotel locate service desk room bathroom huge jet tub huge funny house keep walk girlfriend get dress nt hear knock turn service scream girlfriend scream hit floor laugh start talk spanish work place recommend price check online deal good better besite contain deal vouchers travel websites nt tell,Good,1117
love monaco staff husband stay hotel crazy weekend attend memorial service best friend husband celebrate 12th wed anniversary talk mix emotions book suite hotel monte carlos loan beautiful fantanned goldfish name joliet weekend visit dog work desk human companion room decorate nicely couch use pillow loccitane bath amenities welcome sight room quiet peaceful wireless internet access wonderful server go morning leave problems print board pass afternoon reception serve oenophilesatisfying wine australia scrumptious cookies restaurant close renovation stay finally eat food good drink better word caution restaurant larger person sit booths wo nt fit 56 125 lbs husband 59 175 table smackagainst stomach couple inch space mighty uncomfortable patron larger pregnant bad design opinion place decorate funky welcome way metal wood handblown glass light fixtures expect seattle capital glass art industry definitely stay reason,Good,927
cozy stay rainy city husband spend 7 nights monaco early january 2008 business trip chance come ridewe book monte carlo suite prove comfortable longish stay room 905 locate street build street noise problem view interest room build look dank alley midsection large office build suite comfortable plenty room spread bathroom attractive squeaky clean small comparison generous proportion sit sleep areas lot comfortable seat options good light plenty storage clothe luggage hotel staff friendly efficient housekeep staff great job pleasant request respond quicklythe location quite good easy walk pike street market seattle art museum notch shop din optionsa positive experience,Good,676
excellent staff housekeep quality hotel chock staff make feel home experience exceptional service desk staff concierge door men maid service need work maid fail tuck sheet foot bed instance soil sheet use staff quickley resolve soil sheet issue guess relate employee reflection rest staffwe receive excellent advice concierge regard resturants area happy hour wine taste nice touch staff go way make feel homegreat location like close good food shop take play 5th street theather wellpikes market pioneer square access mono rail short walk distance,Good,548
hotel stay hotel monaco cruise room generous decorate uniquely hotel remodel pacific bell build charm sturdiness everytime walk bell men felt like come home secure great single travelers location fabulous walk things pike market space needlelittle grocerydrug store block away today green bravo 1 double bed room room bed couch separate curtain snore mom sleep curtain great food nearby,Good,386
excellent stay hotel monaco past delight reception staff friendly professional room smart comfortable bed particularly like reception small dog receive staff guests speak love mild negative distance uphill ppmarket restaurants 1st overall great experience,Good,255
